system:index,e_salud,isInside_10km,key,name,.geo
0000000000000000005b,170302A305,true,78,P.S. SAN MARTIN,"{""type"":""Point"",""coordinates"":[-69.48815155671485,-11.403080759935007]}"
00000000000000000022,170102A311,false,32,P.S. LAGO INAMBARILLO,"{""type"":""Point"",""coordinates"":[-69.80370876096406,-12.722287970192752]}"
0000000000000000001c,170102A303,false,46,P.S. CABECERA MALINOWSKY,"{""type"":""Point"",""coordinates"":[-70.25137129302264,-13.106020370448093]}"
00000000000000000061,170303A302,true,85,P.S. NUEVO PACARAN,"{""type"":""Point"",""coordinates"":[-69.11702949423865,-11.839180842962014]}"
00000000000000000011,170101A324,true,9,P.S. UNION,"{""type"":""Point"",""coordinates"":[-69.17877912562678,-12.60071949817266]}"
0000000000000000001a,170102A301,true,49,P.S. SANTA RITA,"{""type"":""Point"",""coordinates"":[-70.19548983862086,-12.914310238857295]}"
00000000000000000004,170101A302,true,10,P.S. LA CACHUELA,"{""type"":""Point"",""coordinates"":[-69.1700883376736,-12.537279867485289]}"
00000000000000000032,170104A201,true,23,P.S. LABERINTO,"{""type"":""Point"",""coordinates"":[-69.58775895604673,-12.717668341501387]}"
0000000000000000003a,170201A201,false,88,P.S. SALVACION,"{""type"":""Point"",""coordinates"":[-71.3606038937747,-12.835620482567137]}"
00000000000000000021,170102A310,true,53,P.S. ALTO LIBERTAD,"{""type"":""Point"",""coordinates"":[-69.94555722457523,-12.898520562027045]}"
00000000000000000057,170302A101,true,70,C.S. SAN MARTIN DE PORRES,"{""type"":""Point"",""coordinates"":[-69.4875049870621,-11.412302180913533]}"
0000000000000000002a,170103A304,false,5,P.S. LAGO VALENCIA,"{""type"":""Point"",""coordinates"":[-68.80303743445921,-12.406151082806606]}"
0000000000000000001b,170102A302,false,54,P.S. JAYAVE,"{""type"":""Point"",""coordinates"":[-69.94925827844958,-12.771810746492326]}"
00000000000000000042,170202A301,false,97,P.S. TAYACOME,"{""type"":""Point"",""coordinates"":[-71.64456390795917,-11.730521468491643]}"
00000000000000000013,170101A327,false,20,P.S. INFIERNO,"{""type"":""Point"",""coordinates"":[-69.2282394745116,-12.729609814122513]}"
0000000000000000002c,170103A306,false,35,P.S. LUCERNA,"{""type"":""Point"",""coordinates"":[-69.47065850328218,-12.097951395295585]}"
00000000000000000036,170104A305,false,29,P.S. BOCA UNION,"{""type"":""Point"",""coordinates"":[-69.66426821192175,-12.703671223294622]}"
0000000000000000000c,170101A310,false,21,P.S. JORGE CHAVEZ,"{""type"":""Point"",""coordinates"":[-69.11937052229172,-12.668569179801896]}"
0000000000000000001e,170102A307,true,51,P.S. SARAYACU,"{""type"":""Point"",""coordinates"":[-70.03726755594144,-12.796679153067393]}"
0000000000000000002f,170103A311,false,103,P.S. NUEVO SAN JUAN,"{""type"":""Point"",""coordinates"":[-70.22332800649752,-12.64041887485149]}"
00000000000000000012,170101A325,true,13,P.S. AA. HH. PUEBLO VIEJO,"{""type"":""Point"",""coordinates"":[-69.17360656840478,-12.596041901167595]}"
00000000000000000052,170204A305,false,58,P.S. CHOQUE,"{""type"":""Point"",""coordinates"":[-70.59115033419417,-12.98375181956261]}"
00000000000000000066,170103A302,true,104,P.S. PIÑAL,"{""type"":""Point"",""coordinates"":[-69.06461276135542,-12.01178818563985]}"
00000000000000000058,170302A301,true,79,P.S. CHILINA,"{""type"":""Point"",""coordinates"":[-69.54878195373855,-11.217287855442128]}"
