"month","key","e_salud","clust","monthly_cases_C","monthly_cases_CP"
2014-04-01,1,"170101A201",1,1,1
2014-05-01,1,"170101A201",1,0,0
2014-06-01,1,"170101A201",1,1,1
2014-07-01,1,"170101A201",1,1,1
2014-08-01,1,"170101A201",1,1,1
2014-09-01,1,"170101A201",1,0,0
2014-10-01,1,"170101A201",1,1,1
2014-11-01,1,"170101A201",1,0,0
2014-12-01,1,"170101A201",1,0,0
2015-01-01,1,"170101A201",1,6,6
2015-02-01,1,"170101A201",1,1,1
2015-03-01,1,"170101A201",1,2,2
2015-04-01,1,"170101A201",1,2,2
2015-05-01,1,"170101A201",1,2,2
2015-06-01,1,"170101A201",1,1,1
2015-07-01,1,"170101A201",1,0,0
2015-08-01,1,"170101A201",1,1,1
2015-09-01,1,"170101A201",1,1,1
2015-10-01,1,"170101A201",1,0,0
2015-11-01,1,"170101A201",1,0,0
2015-12-01,1,"170101A201",1,0,0
2016-01-01,1,"170101A201",1,1,1
2016-02-01,1,"170101A201",1,2,2
2016-03-01,1,"170101A201",1,3,3
2016-04-01,1,"170101A201",1,4,4
2016-05-01,1,"170101A201",1,2,2
2016-06-01,1,"170101A201",1,1,1
2016-07-01,1,"170101A201",1,1,1
2016-08-01,1,"170101A201",1,3,3
2016-09-01,1,"170101A201",1,1,1
2016-10-01,1,"170101A201",1,1,1
2016-11-01,1,"170101A201",1,1,1
2016-12-01,1,"170101A201",1,1,1
2017-01-01,1,"170101A201",1,2,2
2017-02-01,1,"170101A201",1,3,3
2017-03-01,1,"170101A201",1,1,1
2017-04-01,1,"170101A201",1,2,2
2017-05-01,1,"170101A201",1,3,3
2017-06-01,1,"170101A201",1,4,4
2017-07-01,1,"170101A201",1,2,2
2017-08-01,1,"170101A201",1,1,1
2017-09-01,1,"170101A201",1,0,0
2017-10-01,1,"170101A201",1,0,0
2017-11-01,1,"170101A201",1,0,0
2017-12-01,1,"170101A201",1,1,1
2018-01-01,1,"170101A201",1,2,2
2018-02-01,1,"170101A201",1,1,1
2018-03-01,1,"170101A201",1,5,5
2018-04-01,1,"170101A201",1,1,1
2018-05-01,1,"170101A201",1,1,1
2018-06-01,1,"170101A201",1,1,1
2018-07-01,1,"170101A201",1,2,2
2018-08-01,1,"170101A201",1,1,1
2018-09-01,1,"170101A201",1,2,2
2018-10-01,1,"170101A201",1,1,1
2018-11-01,1,"170101A201",1,1,1
2018-12-01,1,"170101A201",1,3,3
2019-01-01,1,"170101A201",1,3,3
2019-02-01,1,"170101A201",1,5,5
2019-03-01,1,"170101A201",1,5,5
2019-04-01,1,"170101A201",1,5,5
2019-05-01,1,"170101A201",1,7,7
2019-06-01,1,"170101A201",1,8,8
2019-07-01,1,"170101A201",1,5,5
2019-08-01,1,"170101A201",1,3,3
2019-09-01,1,"170101A201",1,1,1
2019-10-01,1,"170101A201",1,1,1
2019-11-01,1,"170101A201",1,2,2
2019-12-01,1,"170101A201",1,4,5
2020-01-01,1,"170101A201",1,4,4
2020-02-01,1,"170101A201",1,2,2
2020-03-01,1,"170101A201",1,10,10
2020-04-01,1,"170101A201",1,1,1
2020-05-01,1,"170101A201",1,4,4
2020-06-01,1,"170101A201",1,3,3
2020-07-01,1,"170101A201",1,3,3
2020-08-01,1,"170101A201",1,2,2
2020-09-01,1,"170101A201",1,0,0
2020-10-01,1,"170101A201",1,3,3
2020-11-01,1,"170101A201",1,0,0
2020-12-01,1,"170101A201",1,1,1
2021-01-01,1,"170101A201",1,2,2
2021-02-01,1,"170101A201",1,1,1
2021-03-01,1,"170101A201",1,1,1
2021-04-01,1,"170101A201",1,3,3
2021-05-01,1,"170101A201",1,1,1
2021-06-01,1,"170101A201",1,1,1
2021-07-01,1,"170101A201",1,2,2
2021-08-01,1,"170101A201",1,1,1
2021-09-01,1,"170101A201",1,1,1
2021-10-01,1,"170101A201",1,0,0
2021-11-01,1,"170101A201",1,0,0
2021-12-01,1,"170101A201",1,1,1
2022-01-01,1,"170101A201",1,9,9
2022-02-01,1,"170101A201",1,6,6
2022-03-01,1,"170101A201",1,7,7
2022-04-01,1,"170101A201",1,5,5
2022-05-01,1,"170101A201",1,2,2
2022-06-01,1,"170101A201",1,5,5
2022-07-01,1,"170101A201",1,1,1
2022-08-01,1,"170101A201",1,6,6
2022-09-01,1,"170101A201",1,3,3
2022-10-01,1,"170101A201",1,6,6
2022-11-01,1,"170101A201",1,1,1
2022-12-01,1,"170101A201",1,0,0
2000-01-01,2,"170101A308",1,0,0
2000-02-01,2,"170101A308",1,0,0
2000-03-01,2,"170101A308",1,0,0
2000-04-01,2,"170101A308",1,0,0
2000-05-01,2,"170101A308",1,0,0
