"year","key","yearly_cases_C","yearly_cases_CP","onekm","twokm","threekm","fourkm","fivekm","tenkm","fifteenkm","twentykm","thirtykm","fortykm","population","urban","ag","all_cutoffs","clust","mean_temp","sum_precip"
2000-01-01,17,0,0,"1","1","1","1","1","1","1","1","1","1",770.489137902753,0,50.0517002241557,1,10,297.403482928101,0.688606284929902
2000-01-01,18,0,0,"1","1","1","1","1","1","1","1","1","1",384.229054727153,0,46.653898077095,1,8,297.440053466048,0.545333774137559
2000-01-01,19,0,0,"0","1","1","1","1","1","1","1","1","1",1637.0112775899,11.8339769736566,36.2454654314812,2,1,297.503303258988,0.567045578540501
2000-01-01,20,0,0,"0","0","0","0","0","0","1","1","1","1",1003.88693069647,0,13.8628119810421,4,11,297.442288859109,0.573352962246916
2000-01-01,21,0,0,"0","0","0","0","0","0","1","1","1","1",240.568922173166,0,15.0620190318251,4,5,297.374369541558,0.520430632579113
2000-01-01,22,0,0,"0","0","0","0","0","1","1","1","1","1",316.581871441953,0,26.7011297283934,3,5,297.430157142954,0.597157488171646
2000-01-01,23,2,2,"0","0","0","0","0","1","1","1","1","1",1449.18771513557,0.206808261047363,12.5731653522892,3,35,297.319962073033,0.606787837889743
2000-01-01,24,0,0,"1","1","1","1","1","1","1","1","1","1",632.943191001931,0,36.4470731411339,1,10,297.378006951734,0.590548048773403
2000-01-01,25,0,0,"0","0","0","0","0","1","1","1","1","1",170.957865841401,0,4.33521227708574,3,37,297.317675847283,0.711072534302071
2000-01-01,26,0,0,"0","0","0","0","0","0","1","1","1","1",43.4066147942621,0,2.82349979908063,4,22,297.310364628005,0.566826494372186
2000-01-01,27,0,0,"1","1","1","1","1","1","1","1","1","1",699.92557403549,0,12.1639326045483,1,38,297.254348480793,0.714472084433243
2000-01-01,28,0,0,"0","0","0","0","0","0","0","0","1","1",201.145291523636,0,0.836252669680128,6,39,297.233136251209,0.753622440370126
2000-01-01,29,0,0,"0","0","0","0","0","0","1","1","1","1",190.398253990216,0,4.05073021870834,4,37,297.312284449247,0.635210128115909
2000-01-01,30,0,0,"0","0","0","0","0","0","0","1","1","1",230.528072098213,0,2.91526882609575,5,22,297.310331125941,0.622471214391949
2000-01-01,31,0,0,"0","0","0","0","0","0","0","0","1","1",354.829218877437,0.102998569091797,1.38002835997721,6,36,297.264133688098,0.639981163937908
2000-01-01,32,0,0,"0","0","0","0","0","0","0","1","1","1",112.60342880339,0,2.81937598215068,5,22,297.310106112079,0.746060662621537
2000-01-01,34,1,1,"1","1","1","1","1","1","1","1","1","1",821.34542987725,0.323397867553711,18.5950314308298,1,24,297.297574814466,0.470819157239163
2000-01-01,35,0,0,"0","0","0","0","0","0","0","0","0","1",163.986568505217,0,0.242415770602596,7,29,297.191551426603,0.579318131262617
2000-01-01,36,0,0,"0","0","0","0","0","0","0","0","0","1",150.924448526431,0,0.105002260864258,7,34,297.175702385312,0.495422434333387
2000-01-01,37,1,1,"1","1","1","1","1","1","1","1","1","1",1042.9938011279,0.347203868286133,20.0404984246064,1,26,297.258460309562,0.412952204710783
2000-01-01,38,2,2,"1","1","1","1","1","1","1","1","1","1",1056.36841457855,0.406073492248536,16.5744112294064,1,25,297.288740175245,0.563801628119348
2000-01-01,39,0,0,"0","0","0","0","0","0","0","0","1","1",144.973131885974,0,1.12478660299407,6,31,297.265563084295,0.505438861792021
2000-01-01,40,0,0,"0","0","0","0","0","0","0","1","1","1",63.6916081751713,0,0.427111333809647,5,33,297.406070142387,0.58739343422406
2000-01-01,41,0,0,"1","1","1","1","1","1","1","1","1","1",592.494924742287,0.179112396240235,33.3204622556796,1,30,297.406352938674,0.492163328282592
2000-01-01,42,0,0,"0","0","0","0","0","0","1","1","1","1",236.166553750807,0,4.69931467413562,4,28,297.299534715109,0.433462226006434
2000-01-01,43,0,0,"0","0","0","0","0","0","0","0","0","0",84.8827281942029,0,0.0674393021240234,0,12,297.034833745479,0.438531018694687
