"month","key","e_salud","clust","cases_C","cases_CP"
2018-09-01,2,"170101A308",1,1,1
2018-10-01,2,"170101A308",1,1,1
2018-11-01,2,"170101A308",1,1,1
2018-12-01,2,"170101A308",1,1,1
2019-01-01,2,"170101A308",1,1,1
2019-02-01,2,"170101A308",1,1,1
2019-03-01,2,"170101A308",1,1,1
2019-04-01,2,"170101A308",1,1,1
2019-05-01,2,"170101A308",1,1,1
2019-06-01,2,"170101A308",1,1,1
2019-07-01,2,"170101A308",1,1,1
2019-08-01,2,"170101A308",1,1,1
2019-09-01,2,"170101A308",1,1,1
2019-10-01,2,"170101A308",1,4,4
2019-11-01,2,"170101A308",1,5,9
2019-12-01,2,"170101A308",1,4,10
2020-01-01,2,"170101A308",1,3,3
2020-02-01,2,"170101A308",1,9,9
2020-03-01,2,"170101A308",1,2,2
2020-04-01,2,"170101A308",1,1,1
2020-05-01,2,"170101A308",1,1,1
2020-06-01,2,"170101A308",1,3,3
2020-07-01,2,"170101A308",1,3,3
2020-08-01,2,"170101A308",1,3,3
2020-09-01,2,"170101A308",1,1,1
2020-10-01,2,"170101A308",1,7,7
2020-11-01,2,"170101A308",1,9,9
2020-12-01,2,"170101A308",1,5,5
2021-01-01,2,"170101A308",1,1,1
2021-02-01,2,"170101A308",1,1,1
2021-03-01,2,"170101A308",1,1,1
2021-04-01,2,"170101A308",1,1,1
2021-05-01,2,"170101A308",1,1,1
2021-06-01,2,"170101A308",1,1,1
2021-07-01,2,"170101A308",1,1,1
2021-08-01,2,"170101A308",1,1,1
2021-09-01,2,"170101A308",1,1,1
2021-10-01,2,"170101A308",1,1,1
2021-11-01,2,"170101A308",1,1,1
2021-12-01,2,"170101A308",1,1,1
2022-01-01,2,"170101A308",1,1,1
2022-02-01,2,"170101A308",1,2,2
2022-03-01,2,"170101A308",1,2,2
2022-04-01,2,"170101A308",1,2,2
2022-05-01,2,"170101A308",1,2,2
2022-06-01,2,"170101A308",1,2,2
2022-07-01,2,"170101A308",1,2,2
2022-08-01,2,"170101A308",1,2,2
2022-09-01,2,"170101A308",1,1,1
2022-10-01,2,"170101A308",1,1,1
2022-11-01,2,"170101A308",1,3,3
2022-12-01,2,"170101A308",1,4,5
2000-01-01,3,"170101A303",4,0,0
2000-02-01,3,"170101A303",4,0,0
2000-03-01,3,"170101A303",4,0,0
2000-04-01,3,"170101A303",4,0,0
2000-05-01,3,"170101A303",4,0,0
2000-06-01,3,"170101A303",4,0,0
2000-07-01,3,"170101A303",4,0,0
