"month","UBIGEO","e_salud","dx_code","dx_type","leish_cases"
2001-01-01,170203,"170204A304","B55.1","C",1
2001-01-01,170302,"170302A307","B55.1","C",1
2001-01-01,170303,"170303A201","B55.2","C",3
2001-01-01,170303,"170303A305","B55.1","C",2
2001-02-01,170203,"080101A101","B55.1","C",1
2001-02-01,170101,"080101A101","B55.2","C",2
2001-02-01,170101,"080106A101","B55.1","C",4
2001-02-01,170104,"080106A101","B55.1","C",1
2001-02-01,170101,"080106A101","B55.2","C",1
2001-02-01,170101,"080601A101","B55.1","C",1
2001-02-01,170102,"080601A101","B55.1","C",1
2001-02-01,170101,"080601A101","B55.2","C",4
2001-02-01,170102,"080601A101","B55.2","C",1
2001-02-01,170101,"080901A101","B55.1","C",2
2001-02-01,170201,"081201A201","B55.2","P",1
2001-02-01,170201,"081210A201","B55.1","C",1
2001-02-01,170101,"150101A101","B55.1","C",1
2001-02-01,170101,"170101A101","B55.1","C",2
2001-02-01,170103,"170101A101","B55.1","C",2
2001-02-01,170101,"170101A101","B55.2","C",1
2001-02-01,170103,"170101A101","B55.2","C",1
2001-02-01,170203,"170101A101","B55.2","C",1
2001-02-01,170103,"170101A302","B55.1","C",1
2001-02-01,170101,"170101A304","B55.2","C",1
2001-02-01,170101,"170101A309","B55.1","C",1
2001-02-01,170101,"170101A318","B55.1","C",1
2001-02-01,170103,"170101A318","B55.1","C",5
2001-02-01,170203,"170101A318","B55.2","C",1
2001-02-01,170102,"170102A301","B55.1","C",1
2001-02-01,170102,"170102A308","B55.1","C",1
2001-02-01,170103,"170103A202","B55.1","C",1
2001-02-01,170103,"170103A301","B55.1","C",2
2001-02-01,170103,"170103A307","B55.1","C",1
2001-02-01,170203,"170203A307","B55.1","C",1
2001-02-01,170203,"170204A201","B55.1","C",1
2001-02-01,170203,"170204A304","B55.1","C",1
2001-02-01,170303,"170303A201","B55.1","C",1
2001-02-01,170303,"170303A201","B55.2","C",1
2001-02-01,170303,"170303A305","B55.1","C",1
2001-02-01,170101,"9999999042","B55.1","C",1
